region,id,ni単os_sename_region,ni単os _total _sename,total_ni単os_region
aysen,CL-AI,831,0.856,2.841
magallanes,CL-MA,1180,1.216,2.844
tarapaca,CL-TA,1945,2.004,1.796
antofagasta,CL-AN,3442,3.547,1.876
atacama,CL-AT,2794,2.879,3.208
coquimbo,CL-CO,5308,5.470,2.465
metropolitana,CL-RM,31707,32.674,1.663
valparaiso,CL-VS,11422,11.770,2.473
araucania,CL-AR,5112,5.268,1.985
bernardo ,CL-LI,5600,5.771,2.277
los lagos,CL-LL,5310,5.472,2.385
maule,CL-ML,6448,6.645,2.301
arica,CL-AP,1652,1.702,2.471
rios,CL-LR,2491,2.567,2.528
biobio,CL-BI,8966,9.239,2.207
単uble,CL-NU,2832,2.918,2.315